SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
38,98976,,Y,42.8,42.45,41.84,46.48
39,98976,,N,2399.8,2415.2,2437.93,2428.69
39,98976,,Y,28.7,30.09,33.38,28.96
42,98976,,Y,0.1,0.1,0.12,0.09
44,98976,,N,15.1,14.9,14.52,14.39
44,98976,,Y,1,1.06,1.19,1
46,98976,,N,1492.7,1497.46,1522.41,1833.98
46,98976,,Y,2.3,2.34,2.41,1.81
47,98976,,N,3,3.22,3.99,1.52
48,98976,,N,432.1,434.79,445.22,349.07
50,98976,,N,5263.11,5267.61,5347.59,5523.08
50,98976,,Y,192.8,194.59,201.66,211.6
65,98976,,N,3.2,3.21,3.67,1.98
66,98976,,N,118.2,122.91,137.08,95.87
66,98976,,Y,0.5,0.5,0.48,0.4
72,98976,,N,890.7,896.69,910.17,937.37
72,98976,,Y,0.4,0.39,0.38,0.31
76,98976,,N,4.8,4.91,5.25,3.54
77,98976,,N,12.8,13.14,13.87,10.09
78,98976,,N,31.7,31.52,31.24,45.86
81,98976,,N,123.2,126,132.58,144.54
81,98976,,Y,29.7,31.51,35.18,54.37
82,98976,,N,0.8,0.8,0.82,0.26
83,98976,,N,14.6,14.95,15.79,15.86
84,98976,,N,219.8,235.87,291.96,113.9
89,98976,,N,10.2,9.84,9.12,8.09
90,98976,,N,1.6,1.67,1.9,1.16
92,98976,,N,2.5,2.56,2.54,2.88
93,98976,,N,479.4,477.8,472.4,406.99
93,98976,,Y,10.3,10.05,9.65,8.28
94,98976,,N,4.1,4.07,3.95,3.66
94,98976,,Y,4.1,4.05,3.83,3.71
97,98976,,N,565.6,568.31,579.76,557.38
97,98976,,Y,28.8,29.2,30.62,15.65
98,98976,,N,5.1,5.39,6.19,6.28
99,98976,,N,11.2,10.99,10.79,9.58
99,98976,,Y,0.6,0.58,0.57,0.28
C0,98976,,N,458.5,452.41,446.21,386.01
C0,98976,,Y,0.1,0.1,0.09,0.1
C3,98976,,N,2103.2,2080.88,2040.73,2377.19
C3,98976,,Y,5.7,5.61,5.5,3.42
C6,98976,,N,198.6,205.17,225.03,270.69
C6,98976,,Y,2.2,2.17,2.09,1.67
C7,98976,,N,59.8,58.94,56.14,46.08
C7,98976,,Y,31.5,30.49,28.66,13.89
D4,98976,,N,0.6,0.59,0.6,1.09
50,98976,22,N,0.1,0.1,0.1,0.19
01,98976,25,N,0.5,0.48,0.47,0.73
03,98976,25,N,0.2,0.22,0.27,0.09
05,98976,25,N,13.4,13.13,12.42,9.94
06,98976,25,N,38.4,40.09,45.29,30.51
08,98976,25,N,178.4,179.63,183.31,190.06
08,98976,25,Y,0.9,0.97,1.2,0.48
10,98976,25,N,54,51.53,46.1,26.61
11,98976,25,N,246.8,249.32,245.81,190.64
11,98976,25,Y,0.1,0.1,0.09,0.11
16,98976,25,N,1.8,1.73,1.6,1.41
17,98976,25,N,0.1,0.1,0.09,0.15
20,98976,25,N,3.4,3.46,3.61,3.08
25,98976,25,N,0.6,0.62,0.67,0.67
26,98976,25,N,2,2.09,2.4,1.74
29,98976,25,N,1.1,1.12,1.18,1.15
38,98976,25,N,5,4.97,4.94,3.7
38,98976,25,Y,0.1,0.1,0.11,0.11
39,98976,25,N,5.3,5.14,4.76,2.89
46,98976,25,N,0.3,0.3,0.29,0.29
46,98976,25,Y,0.1,0.11,0.14,0.05
48,98976,25,N,4.2,4.42,4.93,3.92
50,98976,25,N,187.3,184.48,180.3,221.06
50,98976,25,Y,11.1,11.49,13.11,6.78
83,98976,25,N,0.1,0.1,0.1,0.07
93,98976,25,N,6.5,6.52,6.68,5.02
97,98976,25,N,1.4,1.39,1.39,1.26
C3,98976,25,N,1.2,1.2,1.25,1.24
20,98976,50,N,0.4,0.38,0.34,0.2
01,98977,,N,2171.3,2177.44,2215.56,1533.55
01,98977,,Y,3.2,3.23,3.37,2.12
02,98977,,N,80.9,81.07,83.35,52.07
02,98977,,Y,2.3,2.26,2.12,2.31
03,98977,,N,59.1,62.48,73.46,66.52
03,98977,,Y,0.1,0.1,0.11,0.09
04,98977,,N,5,4.85,4.48,4.48
05,98977,,N,446.4,440.95,439.78,534.22
05,98977,,Y,25.9,25.4,24.07,19.15
06,98977,,N,16061.6,16260.96,17048.36,18546.66
06,98977,,Y,163.1,164.78,176.84,215.74
08,98977,,N,17622.1,17657.11,17936.22,16438.17
08,98977,,Y,494.7,495.85,497.25,443.83
09,98977,,N,920.6,913.94,917.09,1148.29
10,98977,,N,1649.4,1630.42,1607.08,1302.92
10,98977,,Y,2.6,2.55,2.44,1.96
11,98977,,N,31144.43,31529.57,32720.69,33336.18
11,98977,,Y,329.7,340.98,380.35,255.84
12,98977,,N,87.1,85.89,84.34,105.76
13,98977,,N,268.9,273.13,286.29,274.26
13,98977,,Y,0.3,0.29,0.27,0.14
14,98977,,N,46.4,44.6,41.15,37.28
14,98977,,Y,0.3,0.29,0.27,0.24
16,98977,,N,113.5,112.83,110.47,91.99
17,98977,,N,14.6,14.3,14.17,20.37
18,98977,,N,7,6.96,6.83,6.83
18,98977,,Y,0.1,0.1,0.09,0.11
20,98977,,N,180.5,180.5,179.18,151.81
20,98977,,Y,5.6,5.76,6.4,3.43
21,98977,,N,2120.8,2117.58,2155.38,2201.85
21,98977,,Y,1.2,1.17,1.12,0.69
22,98977,,N,285.7,286.03,287.27,257
23,98977,,N,20,20.2,21.2,15
25,98977,,N,175.3,177.65,185.75,216.85
25,98977,,Y,4.7,4.88,5.29,4.72
26,98977,,N,225.8,227.23,233.39,176.67
26,98977,,Y,12.4,12.69,13.89,8.59
27,98977,,N,1,0.99,0.93,0.91
28,98977,,N,0.7,0.7,0.71,0.68
29,98977,,N,2815.5,2820.64,2854.08,3087.38
29,98977,,Y,0.8,0.81,0.86,1.14
30,98977,,N,57.9,56.97,57.86,90.18
31,98977,,N,24,23.3,21.79,18.14
33,98977,,N,35.4,34.39,32.14,37.43
34,98977,,N,466.1,484.24,523.86,474.53
37,98977,,N,1.4,1.37,1.25,1.12
38,98977,,N,1106.7,1132.69,1197.05,1165.49
38,98977,,Y,42.8,42.45,41.84,46.48
39,98977,,N,2399.8,2415.2,2437.93,2428.69
39,98977,,Y,28.7,30.09,33.38,28.96
42,98977,,Y,0.1,0.1,0.12,0.09
44,98977,,N,15.1,14.9,14.52,14.39
44,98977,,Y,1,1.06,1.19,1
46,98977,,N,1492.7,1497.46,1522.41,1833.98
46,98977,,Y,2.3,2.34,2.41,1.81
47,98977,,N,3,3.22,3.99,1.52
48,98977,,N,432.1,434.79,445.22,349.07
50,98977,,N,5263.11,5267.61,5347.59,5523.08
50,98977,,Y,192.8,194.59,201.66,211.6
65,98977,,N,3.2,3.21,3.67,1.98
66,98977,,N,118.2,122.91,137.08,95.87
66,98977,,Y,0.5,0.5,0.48,0.4
72,98977,,N,890.7,896.69,910.17,937.37
72,98977,,Y,0.4,0.39,0.38,0.31
